1581cheese,2015-09-15 00:00,2015-09-19 00:00,2015-09-20 00:00,2015-09-21 00:00,2015-09-22 00:00,2015-09-23 00:00
真实数据-,139,32,24,27,9,8
真实数据+,35,13,7,14,14,5
模拟数据-,151,41,24,35,21,2
模拟数据+,29,4,7,6,2,11




3758hummus,2015-04-09 00:00,2015-04-10 00:00,2015-04-11 00:00,2015-04-12 00:00,2015-04-13 00:00,2015-04-14 00:00,2015-04-15 00:00,2015-04-16 00:00,2015-04-17 00:00,2015-04-18 00:00
真实数据-,797,147,58,39,35,17,12,3,7,3
真实数据+,811,188,74,48,51,37,16,12,6,2
模拟数据-,170,44,18,12,10,4,4,0,5,4
模拟数据+,1440,296,114,75,76,50,24,15,8,1




815nestle,2016-10-08 00:00,2016-10-09 00:00,2016-10-10 00:00,2016-10-11 00:00,2016-10-12 00:00,2016-10-13 00:00,2016-10-14 00:00,2016-10-15 00:00,2016-10-16 00:00
真实数据-,42,219,202,38,14,12,6,5,4
真实数据+,6,77,69,19,10,2,5,2,1
模拟数据-,42,234,209,42,18,10,10,6,2
模拟数据+,6,66,71,15,6,4,1,1,3




868spinach,2015-03-21 00:00,2015-03-24 00:00,2015-03-25 00:00,2015-03-26 00:00,2015-03-27 00:00,2015-03-28 00:00
真实数据-,127,183,81,23,19,5
真实数据+,114,118,65,18,6,7
模拟数据-,212,257,118,37,21,9
模拟数据+,38,53,28,4,4,3




db_bell,2015-03-14 00:00,2015-03-16 00:00,2015-03-17 00:00,2015-03-18 00:00,2015-03-19 00:00,2015-03-20 00:00,2015-03-21 00:00,2015-03-24 00:00,2015-03-25 00:00,2015-03-26 00:00,2015-03-27 00:00,2015-04-04 00:00,2015-04-05 00:00,2015-04-06 00:00,2015-04-07 00:00,2015-04-08 00:00,2015-04-09 00:00,2015-04-10 00:00,2015-04-11 00:00,2015-04-12 00:00,2015-04-13 00:00,2015-04-14 00:00,2015-04-15 00:00,2015-04-21 00:00,2015-04-22 00:00,2015-04-23 00:00,2015-04-24 00:00,2015-04-25 00:00,2015-04-26 00:00,2015-04-27 00:00,2015-04-28 00:00,2015-04-29 00:00,2015-04-30 00:00,2015-05-11 00:00,2015-05-12 00:00,2015-05-13 00:00,2015-05-14 00:00,2015-05-15 00:00,2015-05-16 00:00,2015-05-17 00:00,2015-05-18 00:00,2015-05-19 00:00,2015-05-20 00:00,2015-05-21 00:00,2015-05-22 00:00,2015-06-08 00:00,2015-06-09 00:00,2015-06-10 00:00,2015-06-11 00:00,2015-06-12 00:00,2015-06-13 00:00,2015-06-14 00:00,2015-08-09 00:00,2015-08-12 00:00,2015-08-13 00:00,2015-08-14 00:00,2015-08-15 00:00,2015-08-16 00:00,2015-08-17 00:00
真实数据-,52,29,13,13,7,6,12,70,16,5,3,100,47,71,43,93,139,21,21,24,20,11,9,677,195,137,69,42,39,30,29,17,17,36,22,31,77,327,46,66,43,43,43,12,12,7,8,225,25,9,6,6,42,19,14,6,4,1,40
真实数据+,45,19,20,9,3,1,45,207,47,5,1,49,29,50,100,124,135,18,19,14,18,10,6,767,224,164,56,46,36,29,18,15,16,17,18,30,144,161,21,26,13,26,34,6,7,12,6,90,11,5,3,6,76,35,22,2,1,3,31
模拟数据-,80,39,25,1,8,5,49,51,12,1,3,136,65,104,122,35,51,33,32,34,29,15,12,265,81,83,30,73,16,46,34,30,20,48,32,53,185,84,54,77,50,58,67,16,16,15,1,269,34,13,8,9,91,17,9,2,5,3,13
模拟数据+,17,9,8,21,2,2,8,229,51,9,1,13,11,17,21,185,229,6,8,4,9,6,3,1185,339,227,95,15,59,13,13,2,13,5,8,8,45,406,13,15,6,11,10,2,3,4,13,51,2,1,1,3,27,37,27,6,0,1,58




db_crf,2016-05-03 00:00,2016-05-04 00:00,2016-05-05 00:00,2016-05-06 00:00,2016-05-07 00:00,2016-05-08 00:00
真实数据-,99,43,18,9,1,2
真实数据+,75,40,14,3,0,4
模拟数据-,162,75,30,11,1,3
模拟数据+,18,8,2,1,0,3




